GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercise,com.ks.assesment.exercise.dto.user,UserType,0,27,0,0,0,5,0,1,0,1
exercise,com.ks.assesment.exercise.dto.user,User.UserBuilder,8,21,0,0,0,1,1,4,1,4
exercise,com.ks.assesment.exercise.dto.user,User,149,25,30,0,3,3,24,4,9,4
exercise,com.ks.assesment.exercise.dto.user,User.UserBuilderImpl,0,7,0,0,0,1,0,2,0,2
exercise,com.ks.assesment.exercise.service,DiscountCalculationService,0,105,0,8,0,21,0,13,0,9
exercise,com.ks.assesment.exercise.dto.billing,Item.ItemBuilder,10,35,0,0,0,1,1,6,1,6
exercise,com.ks.assesment.exercise.dto.billing,Item,161,28,26,0,3,5,23,5,10,5
exercise,com.ks.assesment.exercise.dto.billing,ItemCategory,0,21,0,0,0,4,0,1,0,1
exercise,com.ks.assesment.exercise.dto.billing,Bill,260,69,30,2,20,12,24,9,9,8
exercise,com.ks.assesment.exercise.dto.billing,Bill.BillBuilder,27,27,0,0,0,1,4,4,4,4
exercise,com.ks.assesment.exercise.discount,AffiliateDiscountStrategy,0,15,0,2,0,3,0,4,0,3
exercise,com.ks.assesment.exercise.discount,CustomerDiscountStrategy,0,29,0,6,0,5,0,6,0,3
exercise,com.ks.assesment.exercise.discount,EmployeeDiscountStrategy,0,15,0,2,0,3,0,4,0,3
